run_timestamp,filepath,file_extension,filename,function_name,loc_total,loc_code,loc_comments,cyclocomplexity,N_program_len,n_program_vocab,v_volume,d_difficulty,e_effort,implement_time_t,bugs_deliver_b,maintainability_index
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,_FILE_TOTAL,63,26,37,1,103,68,627,30.333333333333332,19019,1056,120574,49
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,connect_to_database,12,6,6,1,18,16,72,7.0,504,28,84,69
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,display_verification,4,4,0,1,18,17,73,7.5,547,30,99,73
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,get_table_data,13,7,6,1,28,24,128,9.5,1216,67,492,66
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,write_to_csv,18,6,12,1,23,20,99,9.0,891,49,264,68
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,data_handling.r,write_to_database,12,3,9,1,16,14,60,6.0,360,20,43,77
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,setup_env.r,_FILE_TOTAL,32,19,13,2,41,33,206,15.0,3090,171,3182,55
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,setup_env.r,setup_env,25,19,6,2,41,33,206,15.0,3090,171,3182,55
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,stats.r,_FILE_TOTAL,22,11,11,1,47,37,244,15.0,3660,203,4465,60
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,stats.r,estimate,12,7,5,1,33,28,158,11.0,1738,96,1006,66
20230923_121956,G:\My Drive\github\acme_model_2\functions,.r,stats.r,make_predictions,4,4,0,1,14,13,51,6.0,306,17,31,74
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,_FILE_TOTAL,182,52,130,9,185,113,1261,56.16279069767442,70821,3934,1671871,39
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,get_relative_cwd,5,1,4,1,4,4,8,1.5,12,0,0,93
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,get_user_specified_models,11,1,10,1,5,5,11,2.0,22,1,0,92
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,group_models_inserted_into_database,82,13,69,5,42,29,204,14.166666666666668,2890,160,2784,58
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,increment_group_id,11,1,10,1,6,6,15,2.5,37,2,0,91
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,insert_queued_models,21,10,11,1,33,30,161,13.0,2093,116,1460,62
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.py,maestro.py,update_queued_model_as_complete,20,11,9,2,31,25,143,9.0,1287,71,552,61
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_calculator.r,_FILE_TOTAL,61,50,11,3,157,104,1051,77.0,80927,4495,2183059,41
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_concrete.r,_FILE_TOTAL,165,124,41,12,424,195,3225,173.7142857142857,560228,31123,104618470,28
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_energy.r,_FILE_TOTAL,68,53,15,5,177,128,1239,62.769230769230774,77771,4320,2016109,40
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_lumber.r,_FILE_TOTAL,165,124,41,12,424,195,3225,173.7142857142857,560228,31123,104618470,28
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_paint.r,_FILE_TOTAL,165,124,41,12,424,195,3225,173.7142857142857,560228,31123,104618470,28
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_shingles.r,_FILE_TOTAL,165,124,41,12,424,195,3225,173.7142857142857,560228,31123,104618470,28
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_steel.r,_FILE_TOTAL,165,124,41,12,424,195,3225,173.7142857142857,560228,31123,104618470,28
20230923_121956,G:\My Drive\github\acme_model_2\scripts,.r,r_test.r,_FILE_TOTAL,11,9,2,1,18,16,72,7.0,504,28,84,66
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,_FILE_TOTAL,96,62,34,6,202,102,1347,69.3,93347,5185,2904554,38
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,create_tables,14,8,6,2,24,22,107,8.0,856,47,244,65
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,get_relative_cwd,9,4,5,1,12,10,39,4.0,156,8,8,75
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,insert_into,14,8,6,2,24,22,107,8.5,909,50,275,65
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,replace_database,8,3,5,1,9,9,28,3.5,98,5,3,79
20230923_121956,G:\My Drive\github\acme_model_2\standup_db,.py,standup_db.py,select_print_topn,47,35,12,3,119,70,729,34.0,24786,1377,204781,45
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_historical\sql,.sql,schema.sql,_FILE_TOTAL,86,85,1,1,305,85,1954,158.84615384615387,310385,17243,32112949,34
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_historical\sql,.sql,schema.sql,none,86,85,1,1,305,85,1954,158.84615384615387,310385,17243,32112949,34
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_historical\sql,.sql,seed.sql,_FILE_TOTAL,440,439,1,1,2927,526,26456,1631.25,43156350,2397575,620823515107,11
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_historical\sql,.sql,seed.sql,none,440,439,1,1,2927,526,26456,1631.25,43156350,2397575,620823515107,11
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_predicted\sql,.sql,schema.sql,_FILE_TOTAL,83,81,2,1,295,68,1795,177.94736842105263,319415,17745,34008647,35
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_predicted\sql,.sql,schema.sql,none,83,81,2,1,295,68,1795,177.94736842105263,319415,17745,34008647,35
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_projected\sql,.sql,schema.sql,_FILE_TOTAL,76,75,1,1,254,66,1535,139.76315789473685,214536,11918,15341898,36
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_projected\sql,.sql,schema.sql,none,76,75,1,1,254,66,1535,139.76315789473685,214536,11918,15341898,36
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_projected\sql,.sql,seed.sql,_FILE_TOTAL,65,63,2,1,396,175,2950,602.0,1775900,98661,1051273603,36
20230923_121956,G:\My Drive\github\acme_model_2\standup_db\data_projected\sql,.sql,seed.sql,none,65,63,2,1,396,175,2950,602.0,1775900,98661,1051273603,36
